"GEMS OPTOMETRY TARIFFS
WITH EFFECT FROM 2026-01-01",,070 - Network Optometrists,
Tariff Code,Tariff Description,2026 Tariff values,Flag
72CS012,synchrony Single Vision SPH Min 1.6 (Safety Only) Uncoated,"R1,718.20",
72FE002,SV Clear Glass 1.52 Surfaced Uncoated,R316.10,
72FE003,SV Clear Glass 1.9 Surfaced Uncoated,"R9,364.30",
72FE005,SV PGX Glass 1.52 Surfaced Uncoated,R626.40,
72FE012,SV Clear Glass 1.6 Surfaced Uncoated,"R1,833.70",
72FE015,SV Photochromic Glass 1.6 Surfaced Uncoated,"R2,416.30",
72HY001,Maxxee SV Glass 1.5 Surfaced,R400.30,
72HY002,Hoya  1.50 UV Crown Surfaced,R577.40,
72HY003,Hoya LHI-70 1.7 Surfaced,"R3,201.70",
72HY004,Maxxee SV Glass 1.5 PGX Surfaced,R639.50,
72HY005,Hoya  1.50  PGX / PBX  Surfaced,R860.30,
72HY00Q,Hoya G15 Pre-tinted UV Crown Surfaced,"R2,040.20",
72HY013,Hoya THI-2 (1.80),"R6,467.70",
72HY015,Hoya LHI2  1.6  PGX,"R4,078.00",
72HY023,Hoya THI-9 (1.90),"R6,658.60",
72LT002,Quality Surfaced SV White,R515.30,
72LT003,Quality Surfaced SV White 1.7,"R2,139.30",
72LT005,Quality Surfaced SV PGX,R915.90,
72LT013,Quality Surfaced SV White 1.8,"R4,192.40",
72MG001,MG Clear 1.52,R342.80,
72MG004,MG PGX 1.52,R602.70,
72MR002,Mineral White 1.523,R813.20,
72MR003,Mineral White 1.700,"R2,088.50",
72MR005,Photo Gray/Brown Extra 1.523,"R1,311.10",
72MR012,Mineral White 1.600,R984.50,
72MR013,Mineral White 1.800,"R5,450.00",
72MR023,Mineral White 1.900,"R9,500.30",
72ND002,Indico Surfaced SV White 65 MM,R396.50,
72ND005,Indico Surfaced SV PGX 65 MM,R771.40,
72TG002,Torga 1.523 clear surfaced,R936.80,
72TG003,Torga 1.7 Hi-lite surfaced,"R1,160.60",
72TG005,Torga 1.523 surfaced PGX/PBX,"R1,013.90",
72TG00Q,Torga 1.523 Solid Tint surfaced,R676.00,
72TG012,Torga 1.6 surfaced Clear,R676.00,
72TG013,Torga 1.8 Hi-lite surfaced,"R3,115.70",
72TG015,Torga 1.6 surfaced PGX,"R1,720.30",
72TG023,Torga 1.9 Hi-lite surfaced,"R4,987.10",
72UB003,Unbranded Glass Single Vision  1.7 Surfaced,"R2,474.20",
72UB012,Unbranded Glass Single Vision Surfaced PGX,R719.40,
72UB022,Unbranded Glass Single Vision 1.6 Surfaced,"R2,052.40",
72UM005,Serengeti Drivers / Drivers Gradient / 555NM Blue / 555NM Silver,"R6,798.90",
72UM00B,Serengeti Drivers / Drivers Gradient / 555NM Silver / Sedona / 555nm Blue / Blue Gradient / Smoke / Drivers Gold / Sedona Bi-Mirror,"R7,488.90",
72UM015,Serengeti Drivers with VarioDrive,"R7,074.90",
72UM01B,Serengeti Drivers Pol with VarioDrive,"R7,557.90",
72UM02B,Serengeti 555nm Blue / Sedona Polarised,"R7,488.90",
72UT002,Ultimax White Glass Single Surfaced Vision 65 Diameter,R485.40,
72UT012,Ultimax White Glass Single Surfaced Vision 70 Diameter,"R1,007.50",
72UT015,Ultimax PGX Glass Single Surfaced Vision 70 Diameter,"R1,115.60",
74BS001,Bifocal,R660.50,
74CS002,synchrony Bifocal FT28 Min 1.5 UNC,"R1,184.10",
74CS005,synchrony Bifocal FT28 Min 1.5 Photo Grey UNC,"R1,922.40",
74FE002,Bifocal 28 Glass 1.52 Clear Uncoated,"R1,007.40",
74FE005,Bifocal 28 Glass 1.52 PGX Uncoated,"R1,477.90",
74HY001,Maxxee Bifocal Glass 1.5 F/Top 28,R862.10,
74HY002,Flat-top 28 Seg White UV Crown,"R1,048.40",
74HY004,Maxxee Bifocal Glass 1.5 F/Top PGX,"R1,784.40",
74HY005,Flat-top 28 Seg PGX/PBX,"R2,131.70",
74HY022,Flat-top 35 Seg White,"R1,004.70",
74HY025,Flat-top 35 Seg PGX,"R2,603.20",
74HY042,Fused Bifocal White,"R2,370.90",
74HY045,Flat-top 28 Seg PGX UV Crown Trifocal,"R4,001.60",
74HY062,Flat-top 28 Seg White UV Crown Trifocal,"R3,148.30",
74HY065,Flat-top 35 Seg PGX UV Crown Trifocal,"R10,324.30",
74HY082,Flat-top 35 Seg White UV Crown Trifocal,"R3,148.30",
74LT002,Quality FT 28 White,"R1,165.00",
74LT005,Quality FT 28 PGX,"R1,900.00",
74LT022,Quality Trifocal 28 White,"R4,240.00",
74LT025,Quality Trifocal 28 PGX,"R5,906.70",
74MG001,MG Clear 1.52,R358.40,
74MG004,MG PGX 1.52,R857.50,
74MR002,Mineral White 1.523 FT28,"R1,870.70",
74MR005,Mineral Photochromic 1.523 FT28 PGX&PBX,"R3,438.10",
74TG002,Torga Flattop 28 seg clear,R845.50,
74TG005,Torga Flattop 28 seg PGX,"R1,823.60",
74TG012,Torga Flattop 35 seg clear,"R2,318.00",
74TG015,Torga Flattop 35 seg PGX,"R2,988.60",
74TG025,Torga Flattop 28 seg Trifocal PGX,"R3,645.00",
74UB002,Unbranded F/T Glass Bifocal 28seg,R0.00,
74UB005,Unbranded F/T PGX Glass Bifocal 28seg,R391.60,
74UB012,Unbranded F/T Glass Bifocal 35seg,"R2,644.00",
74UB015,Unbranded F/T PGX Glass Bifocal 35seg,"R3,368.00",
74UT012,Ultimax White Glass Bifocal 28 Segment,"R1,273.80",
74UT015,Ultimax PGX Glass Bifocal 28 Segment,"R2,430.70",
76BS001,Varifocal Distance to Near,"R1,112.00",
76CS002,synchrony Progressive Easy View Min 1.6 UNC,"R1,898.70",
76CS005,synchrony Progressive Easy View Min 1.6 Photo Grey UNC,"R2,754.30",
76CZ002,ZEISS Progressive GT2 Min 1.6 UNC,"R4,536.80",
76CZ003,ZEISS Progressive GT2 Min 1.8 Uncoated,"R9,042.50",
76CZ005,ZEISS Progressive GT2 Min 1.6 Umbramatic Grey UNC,"R5,236.00",
76FE002,Progressive 1.52 Glass Clear Uncoated,R867.10,
76FE005,Progressive 1.52 Glass PGX Uncoated,"R2,081.90",
76FE012,Progressive 1.6 Clear Glass Uncoated,"R2,497.70",
76FE015,Progressive 1.6 PGX Glass Uncoated,"R3,294.30",
76HY001,Maxxee Ampl Glass 1.5,"R1,139.70",
76HY002,Hoyalux Amplitude Long  15mm (1.523),"R1,551.40",
76HY004,Maxxee Ampl Glass 1.5 PGX,"R2,039.00",
76HY005,Hoyalux Amplitude Long  15mm (1.523) SGX/SBX,"R3,018.80",
76HY012,Hoyalux Amplitude Mini  11mm (1.523),"R1,551.40",
76HY013,Hoyalux Summit CD THI-2 (1.8) Uncoated,"R5,827.10",
76HY015,Hoyalux Amplitude Mini  11mm (1.523) SGX/SBX,"R3,018.80",
76HY023,Hoyalux Summit Pro LHI  (1.7),"R5,827.10",
76HY042,Hoyalux Summit Pro (1.523),"R3,699.60",
76HY045,Hoyalux Summit Pro (1.523) SBX/ SGX,"R4,465.50",
76HY052,Hoyalux Summit CD LHI-2 (1.6),"R4,201.00",
76HY055,Hoyalux Summit CD LHI-2 (1.6)  PGX /PBX,"R5,445.30",
76HY062,Hoyalux Summit Pro LHI-2 (1.6),"R4,201.00",
76HY065,Hoyalux Summit Pro LHI-2 (1.6) SGX /SBX,"R5,445.30",
76LT001,ProShort Clear,"R1,458.00",
76LT004,ProShort PGX,"R2,901.80",
76LT011,ProAspherica Clear,"R1,458.00",
76LT014,ProAspherica PGX,"R2,901.80",
76MG001,Clear 1.52 MG Plus Regular,R348.50,
76MG004,PGX 1.52 MG Plus Regular,R937.30,
76MR002,Optima HD Mineral 1.523,R925.80,
76MR003,Optima HD Mineral 1.700,"R2,157.50",
76MR005,Optima HD Mineral 1.523 PGX & PBX,"R1,388.10",
76MR012,Optima HD Mineral 1.600,"R1,032.80",
76MR013,Optima HD Mineral 1.800 ClarityAR,"R5,545.40",
76MR023,Optima HD Mineral 1.900 ClarityAR,"R9,548.50",
76SZ001,B-Smart Clear Glass,,
76SZ002,B-Original Clear Glass,,
76SZ004,B-Smart PGX/PBX Glass,,
76SZ005,B-Original PGX/PBX Glass,,
76SZ012,B-Smart Clear HRI Glass,,
76SZ015,B-Smart PGX/PBX HRI Glass,,
76TG002,Pro Aspherica Clear F.H. 22mm,"R1,084.60",
76TG003,Pro Aspherica Hilite 1.7 Clear F.H. 22mm,"R4,397.00",
76TG005,Pro Aspherica PGX F.H. 22mm,"R1,949.60",
76TG00Q,Flexivue Mineral Easivue Solid Tint FH 16-21mm,"R1,899.60",
76TG012,Pro Aspherica Short Clear F.H. 17mm,"R1,084.60",
76TG015,Pro Aspherica Short PGX F.H.17mm,"R1,949.60",
76TG01Q,Flexivue Mineral Premium Solid Tint FH 14-22mm,"R2,470.20",
76TG022,Piccolo Clear F.H. 17mm,"R1,647.50",
76TG023,Flexivue Mineral Mild Add 1.7 Clear,"R1,809.40",
76TG025,Piccolo PGX F.H. 17mm,"R2,886.40",
76TG032,Genesis Clear 1.6 F.H 21mm,"R2,922.30",
76TG033,Flexivue Mineral Easivue 1.7 Clear,"R2,512.60",
76TG035,Genesis Clear 1.6 PGX F.H 21mm,"R3,429.80",
76TG042,Flexivue Mineral Mild Add FH 18mm,R791.20,
76TG043,Flexivue Mineral Easivue 1.8 Clear,"R4,412.20",
76TG045,Flexivue Mineral Mild Add PGX/PBX,R793.30,
76TG052,Flexivue Mineral Mild Add 1.6 Clear,"R1,397.60",
76TG055,Flexivue Mineral Mild Add 1.6 PGX,"R2,080.00",
76TG062,Flexivue Mineral Desktop Clear FH 16mm,R791.20,
76TG065,Flexivue Mineral Easivue PGX/PBX FH 16-21mm,"R1,319.30",
76TG072,Flexivue Mineral Desktop Hilite 1.6 Clear,"R1,397.60",
76TG075,Flexivue Mineral Easivue 1.6 PGX,"R2,570.20",
76TG082,Flexivue Mineral Easivue Clear FH 16-21mm,R816.10,
76TG085,Flexivue Mineral Premium PGX FH 14-22mm,"R1,906.20",
76TG092,Flexivue Mineral Easivue 1.6 Clear,"R1,899.60",
76TG095,Flexivue Mineral Premium 1.6 PGX FH 14-22mm,"R3,120.10",
76TG102,Flexivue Mineral Premium Clear FH 14-22mm,"R1,390.00",
76TG112,Flexivue Mineral Premium 1.6 Clear FH 14-22mm,"R2,470.20",
76UB002,Unbranded Glass Multifocal Clear 1.52,"R1,146.50",
76UB005,Unbranded Glass Multifocal PGX 1.52,R391.60,
76UM005,Serengeti M1 Driver Gradient / Drivers / 555nm Blue / 555nm Silver,"R7,881.00",
76UM00B,Serengeti M2 Driver Gradient / Drivers Polarised,"R8,571.00",
76UM01B,Serengeti M3 555nm Blue/ 555NM Silver / Sedona Bi-Mirror / Sendona Silver Polarised / Blue Gradient / Smoke / Drivers Gold,"R8,571.00",
76UT002,Ultimax White Glass Multifocal Short,"R2,112.60",
76UT005,Ultimax PGX Glass Multifocal,"R3,189.00",
77CS00B,Super AR,R637.10,
77CZ00B,ZEISS Super ET,R581.90,
77EL02B,Supersin,"R1,170.70",
77FE00B,ARC,"R1,588.30",
77HY00B,Hoya Mineral Multi AR Coating (MC),"R1,315.60",
77LT00B,QualiCote Brilliant EMIXX Superclean & Antistatic,R967.30,
77SZ00B,Multi-Coat (ARC),"R1,145.40",
77TG00B,Torga Mineral Clarity,R773.80,
77UM00D,Serengeti  Polar 555NM Blue / Silver / Sedona,R759.00,
77UM01D,Serengeti 555NM Blue / Silver / Sedona,R736.00,
78CZ00P,ZEISS Umbra 25,R922.30,
78CZ00Q,ZEISS Umbra 75,R922.30,
78CZ01Q,ZEISS Umbra 85,R922.30,
78HY00P,Amber (Brown) Less than 35%,"R1,122.40",
78HY00Q,Amber (Brown) Over 35%,"R1,122.40",
79GN00T,Safety Treatment,R70.30,
79GN00X,Prism,R273.00,
79GN00Y,Special Surfacing,R326.60,
79GN00Z,Materials Not Listed,,
79GN01X,Fresnel Prism,R647.10,
79GN01Y,Frosting,R136.50,
79GN02X,Prism for Centration,R320.70,
79GN02Y,Laminations,,
79GN03Y,Special Base Curve,R296.90,
79GN04Y,Franklin Bifocal,"R1,909.20",
79TG00T,Torga Heat Tempering,R424.90,
79TG01T,Torga Chemical Tempering,R424.90,
79TG02T,Torga Industrial Tempering,R424.90,
79UT00T,SDH Standard Dress Heat Harden,R278.30,
81AR002,SV WHITE BB HMC,R350.70,
81AR012,SV PHOTO BB HMC,R143.70,
81BA001,Futuro S  1.5 Hard Coat,R127.90,
81BA004,Futuro S Transitions 8 1.5 Hard Coat,"R1,912.30",
81BA005,Futuro S Transitions 8 1.6 Hard Multi Coat,"R6,470.60",
81BA014,Futuro S Transitions 8 1.5 Hard Multi Coat,"R3,242.50",
81BA021,Futuro S 1.56 Hard Multi Coat Plus Green,R432.80,
81BA022,Futuro S Trilogy®  1.53 Hard Coat,"R1,556.70",
81BA024,Futuro S Photochromic 1.5 Hard Coat,R405.90,
81BA031,Futuro S 1.5 Uncoated,R74.10,
81BA032,Futuro S Trilogy®  1.53 Hard Multi Coat,"R1,774.90",
81BA033,Futuro S 1.67 Hard Multi Coat Plus,"R1,685.20",
81BA034,Futuro S Photochromic 1.5 Hard Multi Coat,R525.40,
81BA043,Futuro S 1.74 Hard Multi Coat Plus,"R4,211.00",
81BA062,Futuro S 1.6 Hard Multi Coat Plus,R710.80,
81BA082,Futuro S 1.56 Hard Multi Coat UV ++,"R1,096.40",
81BA092,Futuro S 1.56 Hard Multi Coat Plus Blue,R677.90,
81BA102,Futuro S 1.56 Hard Coat,R259.40,
81BB001,SV 1.50 Orma Uncoated stock,R297.30,
81BB002,SV 1.56 HC - Low Cyl stock,R414.60,
81BB003,SV 1.67 Stylis HMC stock,"R1,196.60",
81BB005,SV 1.56 Photochromic HMC stock,R640.00,
81BB00Q,SV 1.50 Orma Pre-tinted Grey stock,R637.70,
81BB011,SV 1.50 Orma Neva Max UV stock,"R1,355.30",
81BB01Q,SV 1.50 Orma Pre-tinted Brown stock,R637.70,
81BB021,SV 1.50 Orma Neva Plus UV stock,R798.70,
81BB022,SV 1.56 HMC stock,R456.00,
81BB032,SV 1.56 Crizal Prevencia stock,"R1,171.30",
81BB035,SV 1.56 Photochromic HC stock,R607.80,
81BB042,SV 1.60 Ormix HMC stock,R768.80,
81BB045,SV 1.56 Transitions Classic Neva Plus UV stock,"R1,451.90",
81BB052,SV 1.59 Airwear Supra stock,"R1,422.00",
81BB101,SV 1.50 Orma Night Drive Boost stock,"R2,072.90",
81BB215,SV 1.56 PhotoMax Blue Cut stock,R711.30,
81BB272,SV 1.59 Airwear Crizal Prevencia stock,"R2,330.50",
81BB282,SV 1.56 Blue Shield stock,R683.70,
81BB292,SV 1.56 Blue Shield - High Cyl stock,R826.30,
81BB302,SV Crizal Prevencia Kids,"R1,001.10",
81BN001,BSV 1.5 Uncoated Clear,R16.70,
81BN002,BSV1.56 H/C,R143.20,
81BN003,BSV1.67  HMC,R909.10,
81BN004,BSV 1.5 Acclimates Hard Coat,R957.40,
81BN005,BSV1.56 Photochromic Hard coat,R301.90,
81BN007,BSV 1.5 Polarized Hard Coat,"R4,230.30",
81BN012,BSV1.56 HMC,R175.40,
81BN014,BSV 1.5 Transiontions Hard Coat,"R2,066.00",
81BN015,BSV1.56 Photochrmic HMC,R341.00,
81BN022,BSV1.53 Hard Coat,"R1,608.30",
81BN024,BSV 1.5 Sensity Hard Coat,"R2,040.70",
81BN032,BSV1.53 ARC,"R2,245.40",
81BN042,BSV1.53 ARC Premium,"R3,061.90",
81BN052,BSV 1.6  HMC,R481.30,
81BN062,BSV 1.6 ARC,"R1,773.90",
81BN072,BSV 1.6 ARC Premium,"R2,424.80",
81BS001,Single Vision (Standard),R254.70,
81CB001,Crystalbrite CR39 (1.49) Standard Tintable Hard Coat,R127.10,
81CB003,Platinum Microfilm™ Crystal 1.67 (Standard),R791.80,
81CS002,synchrony Finished SV AS 1.6 HMC+,R789.50,
81CS014,synchrony Finished SV SPH 1.5 Photo Grey HC,"R1,746.30",
81CS021,synchrony Finished SV SPH 1.5 HMC+,R361.70,
81CS031,synchrony Finished SV SPH 1.5,R81.10,
81CS034,CZV SV 1.5 Photochromic Hard Coated (Standard),R918.30,
81CS041,synchrony Finished SV SPH 1.5 HC,R205.30,
81CY001,CE SV Stock 1.50 Plastic HC Clear,R384.20,
81CY002,CE SV Stock 1.60 Plastic Quantum Supa ARC+ Clear,"R1,911.30",
81CY003,CE SV Stock 1.67 Plastic ASPH Quantum Supa ARC+ Clear,"R2,297.90",
81CY004,CE SV Stock 1.50 Transitions VII Grey / Brown Neon ARC,"R3,260.20",X
81CY005,CE SV Stock 1.60 Transitions VII Grey / Brown Quantum Plus ARC,"R5,320.10",
81CY011,CE SV Stock 1.50 Plastic Neon ARC,R528.00,
81CY012,CE SV Stock 1.59 Poly HC Clear,"R1,655.70",
81CY013,CE SV Stock 1.74 ASPH Quantum Supa ARC,"R5,169.90",
81CY014,CE SV Stock 1.50 Transitions VII Grey / Brown Quantum Plus SUPA ARC,"R3,575.80",
81CY015,CE SV Stock 1.56 Plastic Photolens HC,"R1,020.00",
81CY021,CE SV Stock 1.50 Plastic  Quantum PLUS Supa ARC,"R1,595.10",
81CY022,CE SV Stock 1.59 Poly Quantum Zero ARC Clear,"R1,978.40",
81CY023,CE SV Stock 1.67 Plastic Clear ASPH Neon ARC,"R1,182.90",
81CY025,CE SV Stock 1.56 Plastic Photolens Quantum ARC,"R1,658.90",
81CY031,CE SV Stock 1.50 Plastic Clear,R313.90,
81CY032,CE SV Stock 1.60 Plastic HC Clear,R700.50,
81CY033,CE SV Stock 1.67 ASPH  Quantum Blue-Safe ARC,"R2,422.50",
81CY042,CE CV Stock 1.56 ASPH Quantum Blue-Safe ARC,"R1,658.90",
81CY043,CE SV Stock 1.74 ASPH Quantum Blue-Safe ARC,"R5,320.10",
81CY052,CE SV Stock 1.60 ASPH Plastic Neon ARC,"R1,020.00",
81CY062,CE SV Stock 1.60 Quantum Blue-Safe ARC,"R1,978.40",
81CZ012,ZEISS Finished SV AS 1.6 DuraVision BlueProtect,"R1,569.20",
81EA001,1.5 CR39 WHITE SINGLE VISION,R0.00,X
81EA002,1.56 CR39 WHITE SINGLE VISION ULTRA X-HARD COAT,R269.40,X
81EA003,SV 1.61 EAGLE-LITE  MR8  SHMC ASP,R660.40,S
81EA011,1.5 CR39 WHITE SINGLE VISION EXTENDED RANGE,R0.00,X
81EA012,1.56 CR39 WHITE SINGLE VISION HMC,R76.20,X
81EA013,SV 1.61 EAGLE-LITE MR8 SHMC ASP EXT RANGE,"R1,084.10",S
81EA022,1.56 CR39 WHITE SINGLE VISION ULTRA X-HARD COAT EXTENDED RANGE,R402.20,X
81EA023,SV 1.67 EAGLE-LITE MR7 SHMC ASP,"R1,084.20",S
81EA033,SV 1.67 EAGLE- LITE MR7 SHMC ASP EXTENDED RANGE,"R1,383.50",S
81EA043,SV 1.74 EAGLE-LITE SHMC ASP,"R3,652.50",S
81EC001,ClearFocus,R169.80,
81EC002,Luxalite,R295.30,
81EC003,UltraThinz Asp Stock,"R1,176.90",
81EC005,SmartShades,"R1,548.60",
81EC006,SmartShades 1.67 HMC,"R2,992.80",
81EC012,Luxalite High powers,R458.60,
81EC013,NuVision HD Stock,"R2,847.10",
81EC015,SmartShades High Powers,"R1,694.30",
81EC016,SmartShades 1.67 HC,"R2,696.40",
81EC021,ClearFocus High Powers,R262.70,
81EC022,Thinz Aspheric,R636.90,
81EC023,UltraThinz Extended Range,"R1,367.80",
81EC025,SmartShades 1.6 Stock,"R2,246.90",
81EC035,SmartShades BlueCut,"R1,960.50",
81EC041,Blue Control,"R1,249.70",
81EC051,ClearFocus Emerald,R473.70,
81EC061,Bluecut,"R1,249.70",
81EL001,eLab G 1.50 UC Stock,R329.50,
81EL002,eLab G 1.56 HMC Stock,R561.80,
81EL012,eLab G 1.60 SHMC Stock,"R1,212.70",
81EL043,eLab G 1.74 SHMC Aspheric High Cyl Stock,"R3,988.80",
81EL053,eLab 1.61 Aspheric UV420 Blue Block SHMC,"R1,238.00",
81EL055,eLab G 1.56 Photochromic HC Stock,R794.10,
81EL063,eLab 1.61 Aspheric UV420 Blue Block SHMC High Cyl Stock,"R1,387.50",
81EL065,eLab G 1.56 Photochromic HC High Cyl Stock,R950.50,
81EL095,eLab G 1.56 Photochromic HMC stock,R918.30,
81EL101,eLab G 1.50 UC High Cyl Stock,R577.90,
81EL102,eLab G 1.60 SHMC High Cyl Stock,"R1,362.20",
81EL103,Rodenstock Cosmolit 1.74 Solitaire Protect Plus 2,"R5,099.70",
81EL105,eLab G 1.56 Photochromic HMC High Cyl Stock,"R1,077.00",
81EL112,eLab G 1.56 HMC High Cyl Stock,R704.40,
81EL113,eLab G 1.67 SHMC Aspheric Stock,"R1,578.40",
81EL123,eLab G 1.67 SHMC Aspheric High Cyl Stock,"R1,764.70",
81EL125,Rodenstock Perfalit 1.60 ColorMatic 3 Solitaire Protect Plus 2,"R3,252.80",
81EL181,eLab G 1.50 HC Stock (Tintable),R520.40,
81EL191,eLab G 1.50 HC High Cyl Stock (Tintable),R605.50,
81EL192,eLab G 1.56 SHMC,R851.60,
81EL212,eLab G 1.56 UV420 Blue Block Green HMC,R419.20,
81EL222,eLab G 1.56 UV420 Blue Block Blue SHMC,R640.00,
81EL232,Rodenstock Perfalit 1.60 Solitaire Protect Plus 2 X-tra Clean,"R2,390.30",
81EL242,Rodenstock Perfalit 1.60 Solitaire Protect Balance 2 X-tra Clean,"R2,523.70",
81ES003,SV 1.67 Stylis Clear HMC stock,"R1,194.30",
81ES00Q,SV 1.50 Orma Pre-tinted Grey stock,R635.40,
81ES01Q,SV 1.50 Orma Pre-tinted Brown stock,R635.40,
81ES022,SV 1.56 Clear HMC stock,R453.70,
81ES032,SV 1.59 Airwear Clear Supra stock,"R1,419.70",
81ES035,SV 1.56 Photochromic HC stock,R605.50,
81ES045,SV 1.56 Photochromic HMC stock,R637.70,
81ES071,SV 1.50 Orma Clear Uncoated stock,R297.30,
81ES072,SV 1.60 Ormix Clear HMC stock,R766.50,
81ES102,SV 1.59 Airwear Clear Crizal Prevencia stock,"R2,328.20",
81ES112,SV 1.56  Clear Crizal Prevencia stock,R853.90,
81ES201,SV 1.50 Orma Clear Crizal drive stock,"R2,070.60",
81ES225,SV 1.56 PhotoMax Blue Cut Stock,R709.00,
81ES302,SV 1.56 Essilor Elements Blue Shield Clear Stock,R683.70,
81ES342,SV 1.56 Essilor Elements Blue Shield Clear Stock - High Cyl,R824.00,
81ES352,SV Crizal Prevencia Kids,R998.80,
81ET001,1.5 Sv Unc Stock,R152.40,
81ET002,1.56 Sv Hard Stock,R334.10,
81ET003,1.67 Sv Hmc Stock,"R1,104.60",
81ET005,1.56 Sv Photo Hard Stock,R511.20,
81ET011,1.5 Sv Hard Stock,R341.00,
81ET012,1.56 Sv Hmc Stock,R366.30,
81ET014,1.5 Sv Transitions Gen S Hard Stock,"R1,767.00",
81ET015,1.56 Sv Photo Hmc Stock,R667.60,
81ET021,1.5 Sv HVLL UVC / Crizal R UV Arc Stock,"R1,219.60",
81ET022,1.59 Sv Poly Hard Stock,"R1,125.30",
81ET024,1.5 Sv Transitions Gen S Crizal UV Arc Stock,"R2,866.40",
81ET031,1.5 Sv Blue Crizal UV Arc Stock,"R1,343.80",
81ET032,1.59 Sv Poly Crizal UV Arc Stock,"R1,796.90",
81ET034,1.5 Sv Transitions Gen S Blue Control Crizal Arc Stock,"R2,905.50",
81ET042,1.59 Sv Poly Blue Control Crizal Arc Stock,"R1,824.50",
81ET052,1.6 Sv Hmc Stock,R665.30,
81ET062,1.6 Sv Crizal UV Arc Stock,"R1,808.40",
81EW001,Single Vision UC 1.5,R0.00,
81FC001,Focus CR39 High Cyl,R407.70,
81FC002,Focus Easylite Invisibles,R407.70,
81FC004,Focus Sunactive,R964.30,
81FC00Q,Focus Plano Polarised,"R1,044.80",
81FC012,Focus Easylite Invisibles High Cyl,R727.40,
81FC014,Focus Sunactive High Cyl,"R1,286.30",
81FC023,Focus Superlite 1.67 Invisibles,"R2,243.10",
81FC024,Focus Sunactive Invisibles,"R1,364.50",
81FC031,Focus CR39,R214.50,
81FC032,Focus Superlite 1.6 Invisibles Plus,"R1,732.50",
81FC033,Focus Superlite 1.67 Invisibles High Cyl,"R2,560.50",
81FC034,Focus Sunactive Invisibles High Cyl,"R1,684.20",
81FC041,Focus CR39 Hard Coated,R327.20,
81FC043,Focus Superlite 1.67 Invisibles Plus,"R2,560.50",
81FC051,Focus CR39 Hard Coated High Cyl,R488.20,
81FC052,Focus Superlite 1.6 Invisibles,"R1,415.10",
81FC053,Focus Superlite 1.67 Invisibles Plus High Cyl,"R2,880.20",
81FC061,Focus Easylite Invisibles Plus,R727.40,
81FC062,Focus Blue Control,R566.40,
81FC071,Focus Easylite Invisibles Plus High Cyl,"R1,044.80",
81FC081,Focus Sunactive Invisibles Plus,"R1,684.20",
81FC114,Focus Sunactive Invisibles Plus High Cyl,"R2,001.60",
81FE001,SV 1.5 Orma,R188.60,
81FE002,SV 1.56 H/C (<-2.00 Cyl),R163.50,
81FE004,SV 1.5 Acclimates,"R1,024.90",
81FE005,SV 1.56  Photochromic H/C,R751.00,
81FE011,SV 1.5 Falcon ARC,R935.30,
81FE012,SV 1.56 H/C (-2.25 - 4.00 Cyl),R283.00,
81FE013,SV 1.74,"R3,813.00",
81FE014,SV 1.5 Transitions / Xtractive,"R2,050.50",
81FE015,SV 1.56 Photochromic HMC,"R1,129.40",
81FE021,SV 1.5 Falcon Superior ARC,"R1,423.20",
81FE022,SV 1.59 Polycarbonate,"R1,268.80",
81FE023,SV 1.67 Superior ARC,"R2,496.10",
81FE024,SV 1.5 Transitions Falcon ARC,"R2,936.80",
81FE031,SV 1.5 Falcon Blue ARC,R935.30,
81FE033,SV 1.67 HMC,"R1,000.00",
81FE042,SV 1.56 HMC (<-2.00 Cyl),R415.00,
81FE052,SV 1.56 HMC (-2.25 -4.00 Cyl),R494.60,
81FE062,SV 1.53 Trivex,"R1,268.80",
81FE072,SV 1.53 Trivex Falcon ARC,"R1,809.00",
81FE082,SV 1.59 Polycarb Falcon ARC,"R1,809.00",
81FE092,SV 1.6 Superior ARC,"R1,983.30",
81FE102,SV 1.56 Blue Cut HMC,R935.30,
81FE112,SV 1.6 HMC,R616.60,
81GK002,1.56 GKB Clear UV 420 Blue Protec Multi Coat,R596.30,
81GK003,1.61 GKB MR-8 Aspheric Clear Hard Multi Coat,R504.30,
81GK004,1.50 GKB Transitions VII  Grey/Brown  Hard Coat,"R1,930.30",
