"GEMS TARIFF FOR RADIOLOGISTS AND NUCLEAR MEDICINE
WITH EFFECT FROM 2026-01-01",,025 - Nuclear Medicine,038 - Radiology
14400,MR of the mandible/maxilla,,"R11,281.30"
14410,"MR of the mandible/maxilla, pre and post contrast",,"R17,442.10"
,TM Joints,,
,"Code 15100 (TM joint) and 15120 (tomography) may be combined. 
Code 15110 (TM joint) and 15130 (tomography) may be combined. 
Code 15140 (arthrography) and 15120 (tomography) may be combined.
Code 15150 (arthrography) and 15130 (tomography)may be combined.
Codes 15320 (CT arthrogram) and 15420 (MR arthrogram) include introduction of contrast (00140 may not be added).",,
15100,"X-ray tempero-mandibular joint, left",,R629.50
15110,"X-ray tempero-mandibular joint, right",,R629.50
15120,"X-ray tomography tempero-mandibular joint, left",,R760.50
15130,"X-ray tomography tempero-mandibular joint, right",,R760.50
15140,"X-ray arthrography of the tempero-mandibular joint, left",,"R2,724.90"
15150,"X-ray arthrography of the tempero-mandibular joint, right",,"R2,724.90"
15200,"Ultrasound tempero-mandibular joints, one or both sides",,"R1,159.90"
15300,CT of the tempero-mandibular joints,,"R4,487.90"
15310,CT of the tempero-mandibular joints plus 3D reconstructions,,"R6,100.50"
15320,CT arthrogram of the tempero-mandibular joints,,"R6,358.40"
15400,MR of the tempero-mandibular joints,,"R11,281.30"
15410,"MR of the tempero-mandibular joints, pre and post contrast",,"R17,831.00"
15420,MR arthrogram of the tempero-mandibular joints,,"R13,210.30"
,Mastoids and internal auditory canal,,
,"Code 16100 (mastoids) and 16120 (tomography) may be combined.
Code 16110 (mastoids bilat) and 16130 (tomography) may be combined
Code 16140 (IAM’s) and 16150 (tomography) may be combined.",,
16100,"X-ray of the mastoids, unilateral",,R634.80
16110,"X-ray of the mastoids, bilateral",,"R1,269.60"
16120,"X-ray tomography of the petro-temporal bone, unilateral",,R760.50
16130,"X-ray tomography of the petro-temporal bone, bilateral",,"R1,520.50"
16140,"X-ray internal auditory canal, bilateral",,R924.80
16150,"X-ray tomography of the internal auditory canal, bilateral",,R760.50
16300,CT of the mastoids,,"R2,228.20"
16310,CT of the internal auditory canal,,"R3,796.50"
16320,"CT of the internal auditory canal, pre and post contrast",,"R6,047.60"
16330,"CT of the ear structures, limited study",,"R2,369.40"
16340,"CT of the middle and inner ear structures, high definition including all reconstructions in various planes",,"R7,665.20"
16400,"MR of the internal auditory canals, limited study",,"R7,702.60"
16410,"MR of the internal auditory canals, pre and post contrast, limited study",,"R12,188.40"
16420,"MR of the internal auditory canals, pre and post contrast, complete study",,"R18,149.00"
16430,MR of the ear structures,,"R11,387.40"
16440,"MR of the ear structures, pre and post contrast",,"R18,149.00"
,Sella turcica,,
,Code 17100 (sella) and 17110 (tomography) may be combined.,,
17100,X-ray of the sella turcica,,R544.50
17110,X-ray tomography of the sella turcica,,R760.50
17300,CT of the sella turcica/hypophysis,,"R3,085.60"
17310,"CT of the sella turcica/hypophysis, pre and post contrast",,"R7,472.50"
17400,MR of the hypophysis,,"R7,702.60"
17410,"MR of the hypophysis, pre and post contrast",,"R13,090.30"
,Salivary glands and floor of the mouth,,
,"Code 18100 (calculus) and 18110 (open mouth) may be combined.  
Codes 18120 (sialography) and 18320 (CT sialography) include introduction of contrast and fluoroscopy (00140 may not be added).",,
18100,X-ray of the salivary glands and ducts for calculus,,R502.20
18110,"X-ray of the salivary ducts, open mouth for calculus",,R335.80
18120,"X-ray sialography, per gland",,"R2,489.90"
18200,Ultrasound of the salivary glands/floor of the mouth,,"R1,159.90"
18300,"CT of the salivary glands, uncontrasted",,"R2,228.20"
18310,"CT of the salivary glands/floor of the mouth, pre and post contrast",,"R7,444.50"
18320,CT sialography,,"R4,647.10"
18400,MR of the salivary glands/floor of the mouth,,"R11,175.20"
18410,"MR of the salivary glands/floor of the mouth, pre and post contrast",,"R17,831.00"
18900,Nuclear Medicine study - Salivary gland imaging,"R3,672.60",
,Soft Tissue,,
19900,"Nuclear Medicine study - Tumour localisation planar, static","R3,667.40",
19905,"Nuclear Medicine study - Tumour localisation planar, static, multiple studies","R6,218.80",
19910,"Nuclear Medicine study - Tumour localisation planar, static and SPECT","R6,038.60",
19915,"Nuclear Medicine study - Tumour localisation planar, static, multiple studies and SPECT","R8,409.30",
19920,"Nuclear medicine study - Infection localisation planar, static","R3,189.90",
19925,"Nuclear medicine study - Infection localisation planar, static, multiple studies","R5,561.20",
19930,"Nuclear medicine study - Infection localisation planar, static and SPECT","R5,561.20",
19935,"Nuclear medicine study - Infection localisation planar, static, multiple studies and SPECT","R7,932.20",
,Neck,,
,"Code 20120 (laryngography) includes fluoroscopy (00140 may not be added).
Code 20130 (speech) includes tomography and cinematography (00140 may not be added).
Code 20450 (MR Angiography) may be combined with 10410 (MR brain).",,
20100,X-ray of soft tissue of the neck,,R484.40
20110,X-ray of the larynx including tomography,,"R1,660.40"
20120,X-ray laryngography,,"R1,464.20"
20130,X-ray evaluation of pharyngeal movement and speech by screening and / or cine with or without video recording,,"R1,467.70"
20200,Ultrasound of the thyroid,,"R1,159.90"
20210,Ultrasound of soft tissue of the neck,,"R1,159.90"
20220,"Ultrasound of the carotid arteries, bilateral including B mode, pulsed and colour doppler",,"R2,652.70"
20230,"Ultrasound of the entire extracranial vascular tree including carotids, vertebral and subclavian vessels with B mode, pulse and colour doppler",,"R3,862.00"
20240,Ultrasound study of the venous system of the neck including pulse and colour Doppler,,"R1,909.40"
20300,CT of the soft tissues of the neck,,"R3,226.80"
20310,"CT of the soft tissues of the neck, with contrast",,"R6,745.60"
20320,"CT of the soft tissues of the neck, pre and post contrast",,"R7,746.90"
20330,CT angiography of the extracranial vessels in the neck,,"R14,032.70"
20340,CT angiography of the extracranial vessels in the neck and intracranial vessels of the brain,,"R19,008.60"
20350,CT angiography of the extracranial vessels in the neck and intracranial vessels of the brain plus a pre and post contrast study of the brain,,"R22,002.20"
20400,Mr of the soft tissue of the neck,,"R11,245.80"
20410,"MR of the soft tissue of the neck, pre and post contrast",,"R18,043.10"
20420,MR of the soft tissue of the neck and uncontrasted angiography,,"R16,373.90"
20430,"MR angiography of the extracranial vessels in the neck, without contrast",,"R10,538.90"
20440,"MR angiography of the extracranial vessels in the neck, with contrast",,"R13,088.20"
20450,MR angiography of the extra and intracranial vessels with contrast,,"R20,520.40"
20460,"MR angiography of the intra and extra cranial vessels plus brain, without contrast",,"R23,901.10"
20470,"MR angiography of the intra and extra cranial vessels plus brain, with contrast",,"R27,593.20"
20500,Arteriography of cervical vessels: carotid 1 - 2 vessels,,"R7,856.60"
20510,Arteriography of cervical vessels: vertebral 1 - 2 vessels,,"R8,970.20"
20520,Arteriography of cervical vessels: carotid and vertebral,,"R13,726.50"
20530,Arteriography of aortic arch and cervical vessels,,"R16,262.60"
20540,"Arteriography of aortic arch, cervical and intracranial vessels",,"R19,250.60"
20550,Venography of jugular and vertebral veins,,"R8,655.20"
,Thyroid (Nuclear Medicine),,
